Collection,Name,GeneSymbol,Entrez
TBRS,Calon Ma-TBRS,KCNH3,23416
TBRS,Calon Ma-TBRS,KCNIP2,30819
TBRS,Calon Ma-TBRS,KCNJ8,3764
TBRS,Calon Ma-TBRS,KCNK10,54207
TBRS,Calon Ma-TBRS,KCNK13,56659
TBRS,Calon Ma-TBRS,KCP,375616
TBRS,Calon Ma-TBRS,KIAA1217,56243
TBRS,Calon Ma-TBRS,KIAA1614-AS1,103344928
TBRS,Calon Ma-TBRS,KIAA2026,158358
TBRS,Calon Ma-TBRS,KIF23,9493
TBRS,Calon Ma-TBRS,KIZ-AS1,101929591
TBRS,Calon Ma-TBRS,KL,9365
TBRS,Calon Ma-TBRS,KLF12,11278
TBRS,Calon Ma-TBRS,KLF14,136259
TBRS,Calon Ma-TBRS,KLF15,28999
TBRS,Calon Ma-TBRS,KLHL11,55175
TBRS,Calon Ma-TBRS,KLHL23,151230
TBRS,Calon Ma-TBRS,KLHL29,114818
TBRS,Calon Ma-TBRS,KLHL6,89857
TBRS,Calon Ma-TBRS,KLK2,3817
TBRS,Calon Ma-TBRS,KRBOX1-AS1,100506275
TBRS,Calon Ma-TBRS,KRT13,3860
TBRS,Calon Ma-TBRS,KRT222,125113
TBRS,Calon Ma-TBRS,KRT38,8687
TBRS,Calon Ma-TBRS,KRT7,3855
TBRS,Calon Ma-TBRS,KRTAP11-1,337880
TBRS,Calon Ma-TBRS,L3MBTL4,91133
TBRS,Calon Ma-TBRS,LAIR1,3903
TBRS,Calon Ma-TBRS,LAMC1,3915
TBRS,Calon Ma-TBRS,LAPTM5,7805
TBRS,Calon Ma-TBRS,LARGE,9215
TBRS,Calon Ma-TBRS,LARP6,55323
TBRS,Calon Ma-TBRS,LCK,3932
TBRS,Calon Ma-TBRS,LDB2,9079
TBRS,Calon Ma-TBRS,LDLRAD3,143458
TBRS,Calon Ma-TBRS,LEF1-AS1,641518
TBRS,Calon Ma-TBRS,LFNG,3955
TBRS,Calon Ma-TBRS,LHFPL2,10184
TBRS,Calon Ma-TBRS,LHX6,26468
TBRS,Calon Ma-TBRS,LIMS1,3987
TBRS,Calon Ma-TBRS,LINC00113,54088
TBRS,Calon Ma-TBRS,LINC00221,338005
TBRS,Calon Ma-TBRS,LINC00475,158314
TBRS,Calon Ma-TBRS,LINC00486,285045
TBRS,Calon Ma-TBRS,LINC00507,100862680
TBRS,Calon Ma-TBRS,LINC00529,83647
TBRS,Calon Ma-TBRS,LINC00615,439916
TBRS,Calon Ma-TBRS,LINC00689,154822
TBRS,Calon Ma-TBRS,LINC00838,100505583
TBRS,Calon Ma-TBRS,LINC00841,283033
TBRS,Calon Ma-TBRS,LINC00889,158696
TBRS,Calon Ma-TBRS,LINC00937,389634
TBRS,Calon Ma-TBRS,LINC00963,100506190
TBRS,Calon Ma-TBRS,LINC01016,100507584
TBRS,Calon Ma-TBRS,LINC01018,255167
TBRS,Calon Ma-TBRS,LINC01061,401149
TBRS,Calon Ma-TBRS,LINC01127,100506328
TBRS,Calon Ma-TBRS,LINC01128,643837
TBRS,Calon Ma-TBRS,LINC01133,100505633
TBRS,Calon Ma-TBRS,LINC01137,728431
TBRS,Calon Ma-TBRS,LINC01212,101927152
TBRS,Calon Ma-TBRS,LINC01352,101929730
TBRS,Calon Ma-TBRS,LINC01503,100506119
TBRS,Calon Ma-TBRS,LINC01537,101928555
TBRS,Calon Ma-TBRS,LINC01541,100505776
TBRS,Calon Ma-TBRS,LINC01545,724087
TBRS,Calon Ma-TBRS,LINC01547,84536
TBRS,Calon Ma-TBRS,LINC01592,100505718
TBRS,Calon Ma-TBRS,LINC01600,154386
TBRS,Calon Ma-TBRS,LINGO1-AS2,101929478
TBRS,Calon Ma-TBRS,LIPG,9388
TBRS,Calon Ma-TBRS,LIPJ,142910
TBRS,Calon Ma-TBRS,LMTK3,114783
TBRS,Calon Ma-TBRS,LMX1A,4009
TBRS,Calon Ma-TBRS,LOC100128281,100128281
TBRS,Calon Ma-TBRS,LOC100130705,100130705
TBRS,Calon Ma-TBRS,LOC100133131,100133131
TBRS,Calon Ma-TBRS,LOC100240734,100240734
TBRS,Calon Ma-TBRS,LOC100287525,100287525
TBRS,Calon Ma-TBRS,LOC100287877,100287877
TBRS,Calon Ma-TBRS,LOC100422737,100422737
TBRS,Calon Ma-TBRS,LOC100505534,100505534
TBRS,Calon Ma-TBRS,LOC100506142,100506142
TBRS,Calon Ma-TBRS,LOC100506258,100506258
TBRS,Calon Ma-TBRS,LOC100506922,100506922
TBRS,Calon Ma-TBRS,LOC100507461,100507461
TBRS,Calon Ma-TBRS,LOC100507487,100507487
TBRS,Calon Ma-TBRS,LOC100996255,100996255
TBRS,Calon Ma-TBRS,LOC100996549,100996549
TBRS,Calon Ma-TBRS,LOC100996671,100996671
TBRS,Calon Ma-TBRS,LOC100996724,100996724
TBRS,Calon Ma-TBRS,LOC101926959,101926959
TBRS,Calon Ma-TBRS,LOC101927254,101927254
TBRS,Calon Ma-TBRS,LOC101927339,101927339
TBRS,Calon Ma-TBRS,LOC101927516,101927516
TBRS,Calon Ma-TBRS,LOC101927760,101927760
TBRS,Calon Ma-TBRS,LOC101927829,101927829
TBRS,Calon Ma-TBRS,LOC101928173,101928173
TBRS,Calon Ma-TBRS,LOC101928435,101928435
TBRS,Calon Ma-TBRS,LOC101928710,101928710
TBRS,Calon Ma-TBRS,LOC101928716,101928716
TBRS,Calon Ma-TBRS,LOC101928767,101928767
TBRS,Calon Ma-TBRS,LOC101929289,101929289
TBRS,Calon Ma-TBRS,LOC101929384,101929384
TBRS,Calon Ma-TBRS,LOC101929450,101929450
TBRS,Calon Ma-TBRS,LOC101929480,101929480
TBRS,Calon Ma-TBRS,LOC101929660,101929660
TBRS,Calon Ma-TBRS,LOC101930164,101930164
TBRS,Calon Ma-TBRS,LOC102546299,102546299
TBRS,Calon Ma-TBRS,LOC102723645,102723645
TBRS,Calon Ma-TBRS,LOC102724362,102724362
TBRS,Calon Ma-TBRS,LOC105369167,105369167
TBRS,Calon Ma-TBRS,LOC105373860,105373860
TBRS,Calon Ma-TBRS,LOC105378702,105378702
TBRS,Calon Ma-TBRS,LOC151121,151121
TBRS,Calon Ma-TBRS,LOC283454,283454
TBRS,Calon Ma-TBRS,LOC284454,284454
TBRS,Calon Ma-TBRS,LOC285423,285423
TBRS,Calon Ma-TBRS,LOC286437,286437
TBRS,Calon Ma-TBRS,LOC339807,339807
TBRS,Calon Ma-TBRS,LOC340017,340017
TBRS,Calon Ma-TBRS,LOC440602,440602
TBRS,Calon Ma-TBRS,LOC541473,541473
TBRS,Calon Ma-TBRS,LOC553103,553103
TBRS,Calon Ma-TBRS,LOC646482,646482
TBRS,Calon Ma-TBRS,LOC646903,646903
TBRS,Calon Ma-TBRS,LOC652993,652993
TBRS,Calon Ma-TBRS,LOC728705,728705
TBRS,Calon Ma-TBRS,LOC731157,731157
TBRS,Calon Ma-TBRS,LONRF3,79836
TBRS,Calon Ma-TBRS,LPAR3,23566
TBRS,Calon Ma-TBRS,LRPAP1,4043
TBRS,Calon Ma-TBRS,LRRC1,55227
TBRS,Calon Ma-TBRS,LRRC27,80313
TBRS,Calon Ma-TBRS,LRRC32,2615
TBRS,Calon Ma-TBRS,LRRC37BP1,147172
TBRS,Calon Ma-TBRS,LRRC43,254050
TBRS,Calon Ma-TBRS,LRRC6,23639
TBRS,Calon Ma-TBRS,LSR,51599
TBRS,Calon Ma-TBRS,LTA4H,4048
TBRS,Calon Ma-TBRS,LTB,4050
TBRS,Calon Ma-TBRS,LTB4R,1241
TBRS,Calon Ma-TBRS,LTBR,4055
TBRS,Calon Ma-TBRS,LYNX1,66004
TBRS,Calon Ma-TBRS,LYPD6,130574
TBRS,Calon Ma-TBRS,LYZL1,84569
TBRS,Calon Ma-TBRS,MAB21L1,4081
TBRS,Calon Ma-TBRS,MAEA,10296
TBRS,Calon Ma-TBRS,MAMLD1,10046
TBRS,Calon Ma-TBRS,MAN2A2,4122
TBRS,Calon Ma-TBRS,MAOA,4128
TBRS,Calon Ma-TBRS,MAP1LC3A,84557
TBRS,Calon Ma-TBRS,MAP3K2,10746
TBRS,Calon Ma-TBRS,MAP3K7CL,56911
TBRS,Calon Ma-TBRS,MAP4K2,5871
TBRS,Calon Ma-TBRS,MAP9,79884
TBRS,Calon Ma-TBRS,MAPK13,5603
TBRS,Calon Ma-TBRS,MAPK8,5599
TBRS,Calon Ma-TBRS,MAPK8IP1,9479
TBRS,Calon Ma-TBRS,MAPK8IP3,23162
TBRS,Calon Ma-TBRS,MAPKAP1,79109
TBRS,Calon Ma-TBRS,MAPKAPK2,9261
TBRS,Calon Ma-TBRS,3-Mar,115123
TBRS,Calon Ma-TBRS,6-Mar,10299
TBRS,Calon Ma-TBRS,MASP1,5648
TBRS,Calon Ma-TBRS,MAST3,23031
TBRS,Calon Ma-TBRS,MBD4,8930
TBRS,Calon Ma-TBRS,MBD6,114785
TBRS,Calon Ma-TBRS,MBNL1,4154
TBRS,Calon Ma-TBRS,MBOAT7,79143
TBRS,Calon Ma-TBRS,MCEMP1,199675
TBRS,Calon Ma-TBRS,MCOLN3,55283
TBRS,Calon Ma-TBRS,MDFIC,29969
TBRS,Calon Ma-TBRS,MEF2A,4205
TBRS,Calon Ma-TBRS,MEF2C-AS1,101929423
TBRS,Calon Ma-TBRS,MELTF,4241
TBRS,Calon Ma-TBRS,MERTK,10461
TBRS,Calon Ma-TBRS,MET,4233
TBRS,Calon Ma-TBRS,METTL21EP,121952
TBRS,Calon Ma-TBRS,MEX3C,51320
TBRS,Calon Ma-TBRS,MEX3D,399664
TBRS,Calon Ma-TBRS,MFAP3L,9848
TBRS,Calon Ma-TBRS,MFGE8,4240
TBRS,Calon Ma-TBRS,MFSD13A,79847
TBRS,Calon Ma-TBRS,MGC24103,158295
TBRS,Calon Ma-TBRS,MGST1,4257
TBRS,Calon Ma-TBRS,MIA2,117153
TBRS,Calon Ma-TBRS,MIA3,375056
TBRS,Calon Ma-TBRS,MID2,11043
TBRS,Calon Ma-TBRS,MINK1,50488
TBRS,Calon Ma-TBRS,MIR155HG,114614
TBRS,Calon Ma-TBRS,MIR205HG,642587
TBRS,Calon Ma-TBRS,MIR22HG,84981
TBRS,Calon Ma-TBRS,MIR3682,100500850
TBRS,Calon Ma-TBRS,MKNK1-AS1,100507423
TBRS,Calon Ma-TBRS,MKRN7P,7686
TBRS,Calon Ma-TBRS,MLK7-AS1,339751
TBRS,Calon Ma-TBRS,MLPH,79083
TBRS,Calon Ma-TBRS,MME,4311
TBRS,Calon Ma-TBRS,MMP14,4323
TBRS,Calon Ma-TBRS,MMP19,4327
TBRS,Calon Ma-TBRS,MMP2,4313
TBRS,Calon Ma-TBRS,MMP7,4316
TBRS,Calon Ma-TBRS,MMP8,4317
TBRS,Calon Ma-TBRS,MNDA,4332
TBRS,Calon Ma-TBRS,MOAP1,64112
TBRS,Calon Ma-TBRS,MPP7,143098
TBRS,Calon Ma-TBRS,MPRIP,23164
TBRS,Calon Ma-TBRS,MRC2,9902
TBRS,Calon Ma-TBRS,MRE11A,4361
TBRS,Calon Ma-TBRS,MRO,83876
TBRS,Calon Ma-TBRS,MRPS12,6183
TBRS,Calon Ma-TBRS,MS4A12,54860
TBRS,Calon Ma-TBRS,MSR1,4481
TBRS,Calon Ma-TBRS,MSRA,4482
TBRS,Calon Ma-TBRS,MSTN,2660
TBRS,Calon Ma-TBRS,MTHFD1L,25902
TBRS,Calon Ma-TBRS,MTMR11,10903
TBRS,Calon Ma-TBRS,MTMR3,8897
TBRS,Calon Ma-TBRS,MTUS1,57509
TBRS,Calon Ma-TBRS,MXD1,4084
TBRS,Calon Ma-TBRS,MYADM,91663
TBRS,Calon Ma-TBRS,MYH10,4628
TBRS,Calon Ma-TBRS,MYH8,4626
TBRS,Calon Ma-TBRS,MYO6,4646
TBRS,Calon Ma-TBRS,MYOZ1,58529
TBRS,Calon Ma-TBRS,MYOZ2,51778
TBRS,Calon Ma-TBRS,MYOZ3,91977
TBRS,Calon Ma-TBRS,N4BP2L1,90634
TBRS,Calon Ma-TBRS,N4BP2L2,10443
TBRS,Calon Ma-TBRS,NAPSB,256236
TBRS,Calon Ma-TBRS,NAV1,89796
TBRS,Calon Ma-TBRS,NCEH1,57552
TBRS,Calon Ma-TBRS,NCOR2,9612
TBRS,Calon Ma-TBRS,NCR3,259197
TBRS,Calon Ma-TBRS,NDEL1,81565
TBRS,Calon Ma-TBRS,NDP,4693
TBRS,Calon Ma-TBRS,NDUFAF5,79133
TBRS,Calon Ma-TBRS,NDUFV2-AS1,101927275
TBRS,Calon Ma-TBRS,NEB,4703
TBRS,Calon Ma-TBRS,NEK11,79858
TBRS,Calon Ma-TBRS,NEK6,10783
TBRS,Calon Ma-TBRS,NFKBIA,4792
TBRS,Calon Ma-TBRS,NIFK,84365
TBRS,Calon Ma-TBRS,NKD1,85407
TBRS,Calon Ma-TBRS,NKG7,4818
TBRS,Calon Ma-TBRS,NKTR,4820
TBRS,Calon Ma-TBRS,NLRC4,58484
TBRS,Calon Ma-TBRS,NLRP12,91662
TBRS,Calon Ma-TBRS,NMBR,4829
TBRS,Calon Ma-TBRS,NOS3,4846
TBRS,Calon Ma-TBRS,NPAS1,4861
TBRS,Calon Ma-TBRS,NPR1,4881
TBRS,Calon Ma-TBRS,NPR3,4883
TBRS,Calon Ma-TBRS,NPSR1-AS1,404744
TBRS,Calon Ma-TBRS,NPTXR,23467
TBRS,Calon Ma-TBRS,NR4A2,4929
TBRS,Calon Ma-TBRS,NRK,203447
TBRS,Calon Ma-TBRS,NSF,4905
TBRS,Calon Ma-TBRS,NSFL1C,55968
TBRS,Calon Ma-TBRS,NSUN7,79730
TBRS,Calon Ma-TBRS,NT5DC4,284958
TBRS,Calon Ma-TBRS,NTRK2,4915
TBRS,Calon Ma-TBRS,NUP62CL,54830
TBRS,Calon Ma-TBRS,NUP93,9688
TBRS,Calon Ma-TBRS,NUPR1,26471
TBRS,Calon Ma-TBRS,NUSAP1,51203
TBRS,Calon Ma-TBRS,OBSL1,23363
TBRS,Calon Ma-TBRS,OCIAD2,132299
TBRS,Calon Ma-TBRS,OGFOD1,55239
TBRS,Calon Ma-TBRS,OK/SW-CL.36,100131077
TBRS,Calon Ma-TBRS,OLFML2B,25903
TBRS,Calon Ma-TBRS,OLFML3,56944
TBRS,Calon Ma-TBRS,OLIG2,10215
TBRS,Calon Ma-TBRS,OLR1,4973
TBRS,Calon Ma-TBRS,OOSP2,219990
TBRS,Calon Ma-TBRS,OPALIN,93377
TBRS,Calon Ma-TBRS,OR10D3,26497
TBRS,Calon Ma-TBRS,OR10H3,26532
TBRS,Calon Ma-TBRS,OR1J4,26219
TBRS,Calon Ma-TBRS,OR4D2,124538
TBRS,Calon Ma-TBRS,OR51E1,143503
TBRS,Calon Ma-TBRS,ORAI2,80228
TBRS,Calon Ma-TBRS,OSM,5008
TBRS,Calon Ma-TBRS,P2RY11,5032
TBRS,Calon Ma-TBRS,P4HA2,8974
TBRS,Calon Ma-TBRS,PACSIN3,29763
TBRS,Calon Ma-TBRS,PALD1,27143
TBRS,Calon Ma-TBRS,PALM2-AKAP2,445815
TBRS,Calon Ma-TBRS,PAPLN,89932
TBRS,Calon Ma-TBRS,PAPOLB,56903
TBRS,Calon Ma-TBRS,PAQR5,54852
TBRS,Calon Ma-TBRS,PARD3B,117583
TBRS,Calon Ma-TBRS,PARP10,84875
TBRS,Calon Ma-TBRS,PARPBP,55010
TBRS,Calon Ma-TBRS,PARVA,55742
TBRS,Calon Ma-TBRS,PATJ,10207
TBRS,Calon Ma-TBRS,PCBP1-AS1,400960
TBRS,Calon Ma-TBRS,PCBP3,54039
TBRS,Calon Ma-TBRS,PCDHB2,56133
TBRS,Calon Ma-TBRS,PCDHGB8P,56120
TBRS,Calon Ma-TBRS,PCED1B,91523
TBRS,Calon Ma-TBRS,PCMTD1,115294
TBRS,Calon Ma-TBRS,PCNX1,22990
TBRS,Calon Ma-TBRS,PCOLCE2,26577
TBRS,Calon Ma-TBRS,PDCD1,5133
TBRS,Calon Ma-TBRS,PDE1B,5153
TBRS,Calon Ma-TBRS,PDE4B,5142
TBRS,Calon Ma-TBRS,PDE4DIP,9659
TBRS,Calon Ma-TBRS,PDK4,5166
TBRS,Calon Ma-TBRS,PDLIM7,9260
TBRS,Calon Ma-TBRS,PDXK,8566
TBRS,Calon Ma-TBRS,PECAM1,5175
TBRS,Calon Ma-TBRS,PEX14,5195
TBRS,Calon Ma-TBRS,PEX2,5828
TBRS,Calon Ma-TBRS,PGLYRP2,114770
TBRS,Calon Ma-TBRS,PGP,283871
TBRS,Calon Ma-TBRS,PHACTR1,221692
TBRS,Calon Ma-TBRS,PHC2,1912
TBRS,Calon Ma-TBRS,PHGDH,26227
TBRS,Calon Ma-TBRS,PHLDA1,22822
TBRS,Calon Ma-TBRS,PHLDA3,23612
TBRS,Calon Ma-TBRS,PHTF1,10745
TBRS,Calon Ma-TBRS,PHYHD1,254295
TBRS,Calon Ma-TBRS,PKD1L2,114780
TBRS,Calon Ma-TBRS,PKD2L1,9033
TBRS,Calon Ma-TBRS,PKHD1L1,93035
TBRS,Calon Ma-TBRS,PLA2G16,11145
TBRS,Calon Ma-TBRS,PLCG1,5335
TBRS,Calon Ma-TBRS,PLCG2,5336
TBRS,Calon Ma-TBRS,PLEKHA5,54477
TBRS,Calon Ma-TBRS,PLEKHA7,144100
TBRS,Calon Ma-TBRS,PLOD2,5352
TBRS,Calon Ma-TBRS,PLXDC2,84898
TBRS,Calon Ma-TBRS,PM20D2,135293
TBRS,Calon Ma-TBRS,PML,5371
TBRS,Calon Ma-TBRS,PNKD,25953
TBRS,Calon Ma-TBRS,PNPLA3,80339
TBRS,Calon Ma-TBRS,PNPLA7,375775
TBRS,Calon Ma-TBRS,POLB,5423
TBRS,Calon Ma-TBRS,POPDC3,64208
TBRS,Calon Ma-TBRS,POSTN,10631
TBRS,Calon Ma-TBRS,POU3F1,5453
TBRS,Calon Ma-TBRS,PPARD,5467
TBRS,Calon Ma-TBRS,PPIF,10105
TBRS,Calon Ma-TBRS,PPM1H,57460
TBRS,Calon Ma-TBRS,PPOX,5498
TBRS,Calon Ma-TBRS,PPP1R9A,55607
TBRS,Calon Ma-TBRS,PPP2R2C,5522
TBRS,Calon Ma-TBRS,PPP5D1,100506012
TBRS,Calon Ma-TBRS,PRAM1,84106
TBRS,Calon Ma-TBRS,PRB1,5542
TBRS,Calon Ma-TBRS,PRDM14,63978
TBRS,Calon Ma-TBRS,PRIM2,5558
TBRS,Calon Ma-TBRS,PRKAG2-AS1,100505483
TBRS,Calon Ma-TBRS,PRLR,5618
TBRS,Calon Ma-TBRS,PROC,5624
TBRS,Calon Ma-TBRS,PRR15,222171
TBRS,Calon Ma-TBRS,PRRG4,79056
TBRS,Calon Ma-TBRS,PRSS21,10942
TBRS,Calon Ma-TBRS,PRSS8,5652
TBRS,Calon Ma-TBRS,PRY,9081
TBRS,Calon Ma-TBRS,PSEN1,5663
TBRS,Calon Ma-TBRS,PSEN2,5664
TBRS,Calon Ma-TBRS,PSG7,5676
TBRS,Calon Ma-TBRS,PSME4,23198
TBRS,Calon Ma-TBRS,PSPH,5723
TBRS,Calon Ma-TBRS,PTEN,5728
TBRS,Calon Ma-TBRS,PTGDR,5729
TBRS,Calon Ma-TBRS,PTGER3,5733
TBRS,Calon Ma-TBRS,PTH2R,5746
TBRS,Calon Ma-TBRS,PTK2B,2185
TBRS,Calon Ma-TBRS,PTP4A1,7803
TBRS,Calon Ma-TBRS,PTPDC1,138639
TBRS,Calon Ma-TBRS,PTPN14,5784
TBRS,Calon Ma-TBRS,PTPN20,26095
TBRS,Calon Ma-TBRS,PTPN22,26191
TBRS,Calon Ma-TBRS,PTPRD,5789
TBRS,Calon Ma-TBRS,PTPRM,5797
TBRS,Calon Ma-TBRS,PTPRZ1,5803
TBRS,Calon Ma-TBRS,PTTG1,9232
TBRS,Calon Ma-TBRS,PWRN2,791115
TBRS,Calon Ma-TBRS,PXN,5829
TBRS,Calon Ma-TBRS,PYROXD1,79912
TBRS,Calon Ma-TBRS,QPCT,25797
TBRS,Calon Ma-TBRS,RAB23,51715
TBRS,Calon Ma-TBRS,RAB3B,5865
TBRS,Calon Ma-TBRS,RABGAP1L,9910
TBRS,Calon Ma-TBRS,RAI14,26064
TBRS,Calon Ma-TBRS,RALA,5898
TBRS,Calon Ma-TBRS,RALGPS2,55103
TBRS,Calon Ma-TBRS,RAPGEF3,10411
TBRS,Calon Ma-TBRS,RASGEF1B,153020
TBRS,Calon Ma-TBRS,RASSF8,11228
TBRS,Calon Ma-TBRS,RASSF8-AS1,100506451
TBRS,Calon Ma-TBRS,RBP4,5950
TBRS,Calon Ma-TBRS,RDH12,145226
TBRS,Calon Ma-TBRS,REPS2,9185
TBRS,Calon Ma-TBRS,RFFL,117584
TBRS,Calon Ma-TBRS,RFPL3S,10737
TBRS,Calon Ma-TBRS,RGL3,57139
TBRS,Calon Ma-TBRS,RGS1,5996
TBRS,Calon Ma-TBRS,RGS12,6002
TBRS,Calon Ma-TBRS,RGS6,9628
TBRS,Calon Ma-TBRS,RGS8,85397
TBRS,Calon Ma-TBRS,RHEB,6009
TBRS,Calon Ma-TBRS,RHOB,388
TBRS,Calon Ma-TBRS,RHOBTB2,23221
TBRS,Calon Ma-TBRS,RHOH,399
TBRS,Calon Ma-TBRS,RIF1,55183
TBRS,Calon Ma-TBRS,RIN3,79890
TBRS,Calon Ma-TBRS,RIT2,6014
TBRS,Calon Ma-TBRS,RLN3,117579
TBRS,Calon Ma-TBRS,RMDN3,55177
TBRS,Calon Ma-TBRS,RNASE4,6038
TBRS,Calon Ma-TBRS,RNASEH2B,79621
TBRS,Calon Ma-TBRS,RNF166,115992
TBRS,Calon Ma-TBRS,RNF17,56163
TBRS,Calon Ma-TBRS,RNF183,138065
TBRS,Calon Ma-TBRS,RNF213,57674
TBRS,Calon Ma-TBRS,RNF6,6049
TBRS,Calon Ma-TBRS,RNFT1,51136
TBRS,Calon Ma-TBRS,ROCK1,6093
TBRS,Calon Ma-TBRS,RP1L1,94137
TBRS,Calon Ma-TBRS,RPARP-AS1,100505761
TBRS,Calon Ma-TBRS,RRAD,6236
TBRS,Calon Ma-TBRS,RREB1,6239
TBRS,Calon Ma-TBRS,RSPO2,340419
TBRS,Calon Ma-TBRS,RUNX1,861
TBRS,Calon Ma-TBRS,RUNX1T1,862
TBRS,Calon Ma-TBRS,RUNX2,860
TBRS,Calon Ma-TBRS,RWDD2A,112611
TBRS,Calon Ma-TBRS,S100A2,6273
TBRS,Calon Ma-TBRS,S100A8,6279
TBRS,Calon Ma-TBRS,SAE1,10055
TBRS,Calon Ma-TBRS,SAMD11,148398
TBRS,Calon Ma-TBRS,SAMD14,201191
TBRS,Calon Ma-TBRS,SARDH,1757
TBRS,Calon Ma-TBRS,SAV1,60485
TBRS,Calon Ma-TBRS,SBF2-AS1,283104
TBRS,Calon Ma-TBRS,SBNO1,55206
TBRS,Calon Ma-TBRS,SCCPDH,51097
TBRS,Calon Ma-TBRS,SCD,6319
TBRS,Calon Ma-TBRS,SCGN,10590
TBRS,Calon Ma-TBRS,SCML4,256380
TBRS,Calon Ma-TBRS,SCN8A,6334
TBRS,Calon Ma-TBRS,SDCCAG8,10806
TBRS,Calon Ma-TBRS,SDS,10993
TBRS,Calon Ma-TBRS,SDSL,113675
TBRS,Calon Ma-TBRS,SEC22C,9117
TBRS,Calon Ma-TBRS,SEMA3C,10512
TBRS,Calon Ma-TBRS,SEMA4B,10509
TBRS,Calon Ma-TBRS,SEMA6A,57556
TBRS,Calon Ma-TBRS,SEMA6B,10501
TBRS,Calon Ma-TBRS,SERHL2,253190
TBRS,Calon Ma-TBRS,SERINC2,347735
TBRS,Calon Ma-TBRS,SERPINA1,5265
TBRS,Calon Ma-TBRS,SERPINB11,89778
TBRS,Calon Ma-TBRS,SGCB,6443
TBRS,Calon Ma-TBRS,SH2D1B,117157
TBRS,Calon Ma-TBRS,SH2D3C,10044
TBRS,Calon Ma-TBRS,SH2D4A,63898
TBRS,Calon Ma-TBRS,SH3BP4,23677
TBRS,Calon Ma-TBRS,SH3GL2,6456
TBRS,Calon Ma-TBRS,SH3RF3,344558
TBRS,Calon Ma-TBRS,SIGLEC10,89790
TBRS,Calon Ma-TBRS,SIGLEC8,27181
TBRS,Calon Ma-TBRS,SIM1,6492
TBRS,Calon Ma-TBRS,SKAP2,8935
TBRS,Calon Ma-TBRS,SKI,6497
TBRS,Calon Ma-TBRS,SLC10A2,6555
TBRS,Calon Ma-TBRS,SLC11A1,6556
TBRS,Calon Ma-TBRS,SLC16A10,117247
TBRS,Calon Ma-TBRS,SLC16A3,9123
TBRS,Calon Ma-TBRS,SLC16A6,9120
TBRS,Calon Ma-TBRS,SLC16A8,23539
TBRS,Calon Ma-TBRS,SLC1A2,6506
TBRS,Calon Ma-TBRS,SLC22A15,55356
TBRS,Calon Ma-TBRS,SLC22A4,6583
TBRS,Calon Ma-TBRS,SLC22A5,6584
TBRS,Calon Ma-TBRS,SLC23A3,151295
TBRS,Calon Ma-TBRS,SLC24A1,9187
TBRS,Calon Ma-TBRS,SLC24A2,25769
TBRS,Calon Ma-TBRS,SLC25A30,253512
TBRS,Calon Ma-TBRS,SLC25A35,399512
TBRS,Calon Ma-TBRS,SLC25A37,51312
TBRS,Calon Ma-TBRS,SLC26A10,65012
TBRS,Calon Ma-TBRS,SLC27A2,11001
TBRS,Calon Ma-TBRS,SLC29A1,2030
TBRS,Calon Ma-TBRS,SLC31A1,1317
TBRS,Calon Ma-TBRS,SLC31A2,1318
TBRS,Calon Ma-TBRS,SLC34A1,6569
TBRS,Calon Ma-TBRS,SLC35D1,23169
TBRS,Calon Ma-TBRS,SLC35D2,11046
TBRS,Calon Ma-TBRS,SLC35F1,222553
TBRS,Calon Ma-TBRS,SLC35F4,341880
TBRS,Calon Ma-TBRS,SLC36A4,120103
TBRS,Calon Ma-TBRS,SLC39A12,221074
TBRS,Calon Ma-TBRS,SLC41A1,254428
TBRS,Calon Ma-TBRS,SLC43A2,124935
TBRS,Calon Ma-TBRS,SLC43A3,29015
TBRS,Calon Ma-TBRS,SLC44A2,57153
TBRS,Calon Ma-TBRS,SLC44A5,204962
TBRS,Calon Ma-TBRS,SLC45A3,85414
TBRS,Calon Ma-TBRS,SLC46A2,57864
TBRS,Calon Ma-TBRS,SLC4A11,83959
TBRS,Calon Ma-TBRS,SLC5A12,159963
TBRS,Calon Ma-TBRS,SLC5A7,60482
TBRS,Calon Ma-TBRS,SLC6A12,6539
TBRS,Calon Ma-TBRS,SLC6A15,55117
TBRS,Calon Ma-TBRS,SLC6A4,6532
TBRS,Calon Ma-TBRS,SLC6A8,6535
TBRS,Calon Ma-TBRS,SLC7A1,6541
TBRS,Calon Ma-TBRS,SLC8A1,6546
TBRS,Calon Ma-TBRS,SLC9A5,6553
TBRS,Calon Ma-TBRS,SLCO2B1,11309
TBRS,Calon Ma-TBRS,SLFN5,162394
TBRS,Calon Ma-TBRS,SLIT3,6586
TBRS,Calon Ma-TBRS,SMAD6,4091
TBRS,Calon Ma-TBRS,SMCO4,56935
TBRS,Calon Ma-TBRS,SMIM10L2B,644596
TBRS,Calon Ma-TBRS,SMIM14,201895
TBRS,Calon Ma-TBRS,SMIM21,284274
TBRS,Calon Ma-TBRS,SMIM3,85027
TBRS,Calon Ma-TBRS,SMURF1,57154
TBRS,Calon Ma-TBRS,SMURF2,64750
TBRS,Calon Ma-TBRS,SNAI3,333929
TBRS,Calon Ma-TBRS,SNTB1,6641
TBRS,Calon Ma-TBRS,SNX10,29887
TBRS,Calon Ma-TBRS,SNX7,51375
